num_epochs,dropout,batch_size,initial_lr,final_train_loss,final_train_spearman,final_train_auc,val_loss,val_spearman,val_auc
100,0.5,32,0.001,0.1599207824779178,0.4010843409547749,0.6930199666985577,0.19725796977381507,0.2637395259318776,0.6086683698148003
10,0.3,16,0.001,0.17443816677303825,0.3326417747245022,0.6595747155855977,0.1240758849286919,0.2575949580454368,0.6135550795954131
100,0.3,16,0.001,0.15061794391411956,0.4464376626051813,0.7146303848429011,0.17272383963700394,0.2407555667650928,0.608154791640471
100,0.1,16,0.001,0.15131810785027422,0.4395508557903983,0.7113906799406505,0.156122574879153,0.2342090325533362,0.6051320152201519
10,0.3,32,0.001,0.16775033793193783,0.3738803029013592,0.6793371130375871,0.13789402948368987,0.2227422800321676,0.6050828097016574
100,0.1,32,0.001,0.14617927956258606,0.4593828377374469,0.722078953822189,0.1454371997924845,0.21968398615420823,0.5877070313340742
10,0.1,16,0.001,0.17736616885754744,0.32404693615895475,0.6563298870212839,0.1356799288040346,0.21444971731181436,0.599578659163073
100,0.2,16,0.001,0.14895259627816432,0.4477342005696993,0.7137927015126058,0.14811703653911035,0.202502062122538,0.588447592087243
10,0.5,32,0.001,0.19366670599979963,0.1931376268221802,0.5856652449488248,0.14283799654999357,0.20205534796531735,0.59786743990838
100,0.2,32,0.001,0.13977345737641703,0.4919437853678217,0.7406430597282052,0.15431067114417069,0.20151632234072725,0.582345116603627
10,0.2,32,0.001,0.1620755595470478,0.394438666682218,0.6895359945523902,0.13956026855471382,0.200200496711221,0.5826296590192086
100,0.3,32,0.001,0.1462334084785534,0.46063459613192187,0.7213411307442076,0.15012084459258568,0.1956208606782557,0.5863280732280066
10,0.1,32,0.001,0.16716643770734868,0.3690580343468563,0.6765548858328462,0.13533817189829256,0.19004966396581127,0.5744920574505226
10,0.2,16,0.001,0.1730145315304324,0.3405964278389545,0.6632544257893823,0.13242732608053195,0.18854351596617938,0.5760365443367917
100,0.5,16,0.001,0.15432530531702693,0.4290697884803728,0.7071321454622613,0.14822777338723117,0.18533347814917153,0.5758504129581989
10,0.5,16,0.001,0.18001545101419136,0.3036766683934793,0.6451521105867294,0.13540444515754577,0.10105943505108998,0.5357910321632757
