num_epochs,dropout,batch_size,final_train_loss,final_train_spearman,final_train_auc,val_loss,val_spearman,val_auc
100,0.05,32,0.14522590253778356,0.464385012119797,0.7251004820177563,0.12512611268188603,0.2928407213418669,0.636343111000853
100,0.01,32,0.11521051317184626,0.5528647877838967,0.7662503120632885,0.1438209270294421,0.2551798267181333,0.616349386651442
100,0.1,32,0.17824748318216843,0.3174204843759001,0.6520418068787092,0.12871159389782363,0.22287980903353166,0.5971300651240348
100,0.3,32,0.18559163572912465,0.2602884171356927,0.6219575836337483,0.1292285031114822,0.22006696359660752,0.5967220487167201
100,0.01,16,0.1934234233033155,0.19680185348263696,0.5878573065624745,0.13432218394712084,0.20146073222324853,0.5976871848722837
100,0.2,16,0.19339914879235723,0.19692663348540967,0.5878657830356572,0.1346634977948838,0.20145789691926252,0.5976862644812904
100,0.05,16,0.19340871435140775,0.19693326526805763,0.5880533200857943,0.13411785737547027,0.20145430731568886,0.5976849192944538
100,0.1,16,0.19345072742809383,0.19625373132340843,0.5876568226243286,0.13406096995555078,0.20145374198352253,0.5976847776958394
100,0.3,16,0.19336972504839256,0.19682469161573948,0.587865853869695,0.13471183329457054,0.20145356011544285,0.5976847068965322
100,0.2,32,0.18354193842363262,0.27211044931715495,0.6265285355708075,0.14124116019490815,0.1858511283990625,0.5783041753466618
