num_epochs,dropout,batch_size,final_train_loss,final_train_spearman,final_train_auc,val_loss,val_spearman,val_auc
10,0.1,64,0.15168674156069756,0.44511606972936185,0.7140468068173196,0.1399108943462904,0.28209319613708167,0.6311315031995623
10,0.2,16,0.18004996551120414,0.30946196332187653,0.6468900551844377,0.12154427861274632,0.2805788845726142,0.6232916127175946
10,0.1,32,0.16095118780054884,0.39822072517980667,0.6904266774838113,0.12697241532276132,0.2686581520195014,0.6218051104639111
10,0.05,64,0.17684655527770518,0.31538714068688917,0.651152147105611,0.13020606799095513,0.264625332464872,0.6206274347881742
10,0.01,32,0.15167291230990557,0.43639257798076425,0.7104099905586099,0.13983268723516407,0.2575481571969111,0.6159759911053415
10,0.2,32,0.16516599891509465,0.387331784979331,0.6868674008850791,0.14216764625942635,0.2561089757628506,0.6096552413576701
10,0.1,16,0.16386281732944333,0.3922886163580509,0.6917626467878023,0.13347266644362482,0.24853781120855387,0.6071559550146866
10,0.01,64,0.14878369233012198,0.4634187912429899,0.7256670205220374,0.18600193075170474,0.24637941411970368,0.6115662562572427
10,0.05,32,0.1881022837856609,0.23893266793596823,0.6093573574055728,0.12908696784208457,0.21086679675508407,0.5933723918951219
10,0.2,64,0.18867174312472343,0.2336921813067257,0.6078563211823051,0.12895556271819042,0.20707364158353792,0.5974979383241746
10,0.01,16,0.18358710655193392,0.2807871625392727,0.6326982432214188,0.13902829912863113,0.19300592426089458,0.5856382047787833
10,0.05,16,0.18503286832627824,0.26806259233161395,0.6269773479043671,0.147494909043463,0.19087750267801595,0.5893060336868767
