num_epochs,dropout,batch_size,initial_lr,final_train_loss,final_train_spearman,val_loss,val_spearman
10,0.1,16,0.001,0.20218259917054635,0.1995932310385834,0.14446997366756112,0.23109742701019023
10,0.3,16,0.0001,0.2419685222537312,0.13152072903439999,0.21346777576992326,0.2291409789448545
10,0.2,16,0.0001,0.21263022451038466,0.20427501300158799,0.15359418730981447,0.22307085513902425
10,0.3,16,0.001,0.22267653150792227,0.13838684248146457,0.1788066778522175,0.21732894685163281
10,0.2,16,0.001,0.21533901153978638,0.16287105109291003,0.16637722491888,0.2156146983815878
10,0.1,16,0.0001,0.19326986598902743,0.25855847332519805,0.1359937096534817,0.20779545020577908
10,0.1,32,0.0001,0.20183142450804223,0.1979007293564302,0.1329506639541757,0.2041874139702791
10,0.1,32,0.001,0.2128581900694566,0.12654922945300978,0.15312595897170153,0.20149639828936275
10,0.2,32,0.001,0.22611006762914523,0.11212762090979259,0.18650846834110466,0.20147756269901074
10,0.3,32,0.001,0.24109279992943536,0.09276939761104874,0.24525338157029922,0.2014770837004634
10,0.2,32,0.0001,0.21984180843901777,0.15152896691895454,0.15182737331324353,0.2005469876835505
10,0.3,32,0.0001,0.24461814255000117,0.115738072526058,0.20284407867905044,0.1813415350306666
