num_epochs,dropout,batch_size,final_train_loss,final_train_spearman,final_train_auc,val_loss,val_spearman,val_auc
100,0.01,64,0.1126691509783268,0.5585544279588048,0.7731064015395857,0.157475441206424,0.2573067937400674,0.6187164906879087
100,0.01,32,0.11657172386984309,0.563040300076395,0.7743093996138442,0.13691609123063658,0.25193088740259795,0.6157599116198089
100,0.2,64,0.14646957749128342,0.46080307018867667,0.7238698507983311,0.14797668176193146,0.21139435927506497,0.5872781999304468
100,0.1,32,0.16252038209794278,0.3955445711165391,0.691734746047382,0.16796492861059611,0.2057649467498884,0.5921821139427058
100,0.2,16,0.19339308222996793,0.19578850350774793,0.5879545380849435,0.13338739570515515,0.20145370996491263,0.5976843528999962
100,0.1,16,0.19333678432025667,0.1961713693476617,0.5881823875730023,0.13311628540701656,0.20145313777590443,0.5976843528999962
100,0.01,16,0.1933656799361304,0.19591258610889495,0.588031345793198,0.13345662110020873,0.20145020182589257,0.5976835741076172
100,0.05,16,0.19246800416107163,0.21224993768127662,0.5997389136073445,0.13148096220409805,0.1989091779728659,0.591246925894082
100,0.05,64,0.17858700966835023,0.31011494220459274,0.6497551346019866,0.1382128894384507,0.19857274676097744,0.5857872373204105
100,0.05,32,0.17990393779858319,0.30381196898803836,0.6461050330259767,0.14611231859684168,0.19732936570269424,0.5870294111649941
100,0.2,32,0.18369927597726754,0.2698450804638287,0.6276565282695497,0.13720275593982886,0.18908425532195938,0.5816023610719354
100,0.1,64,0.1395131866335869,0.48890118251782994,0.7383783460031816,0.147569581428321,0.18751700977163,0.5773464023190454
